model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
timesfm_wx,WX,Jönköpings län,1,47.0,137.35581483232215,202.18918586355366,0.5503934443837957,22.26112675751601,TimesFM D (+väder)
timesfm_wx,WX,Jönköpings län,3,45.0,167.63729790581598,232.14839599083678,0.6717332638171111,26.656749011862647,TimesFM D (+väder)
timesfm_wx,WX,Jönköpings län,6,42.0,197.85518173944382,267.57160356999066,0.7928182370705776,31.98158456900888,TimesFM D (+väder)
timesfm_wx,WX,Kalmar län,1,47.0,120.60038075548538,148.58397645279595,0.4262774062169684,17.80754487390766,TimesFM D (+väder)
timesfm_wx,WX,Kalmar län,3,45.0,148.68629286024304,182.4450134559956,0.525550639752836,21.627047200094136,TimesFM D (+väder)
timesfm_wx,WX,Kalmar län,6,42.0,177.80257234119233,205.22494463857396,0.6284658380140395,25.980834492381288,TimesFM D (+väder)
timesfm_wx,WX,Kronobergs län,1,47.0,98.38602333880485,134.01156825349952,0.48144442041880114,20.177401595697326,TimesFM D (+väder)
timesfm_wx,WX,Kronobergs län,3,45.0,117.33478936089409,155.12240076976224,0.574168746146865,24.289681404463494,TimesFM D (+väder)
timesfm_wx,WX,Kronobergs län,6,42.0,130.12505812872024,170.89260539090137,0.6367569403329596,26.397855049549925,TimesFM D (+väder)
timesfm_wx,WX,Norra Norrland,1,47.0,761.7334503823138,1114.8819991694104,0.6713379808979079,17.267107558831142,TimesFM D (+väder)
timesfm_wx,WX,Norra Norrland,3,45.0,827.3677788628472,1222.2186737442737,0.729183435285655,19.583461096821107,TimesFM D (+väder)
timesfm_wx,WX,Norra Norrland,6,42.0,806.044904436384,1097.4543642604274,0.7103909620691816,19.19916494281454,TimesFM D (+väder)
timesfm_wx,WX,Norrbottens län,1,47.0,307.69520601313167,376.90126935969926,0.525284781824291,17.822628328378755,TimesFM D (+väder)
timesfm_wx,WX,Norrbottens län,3,45.0,332.95965983072915,393.93848164332235,0.5684152331674951,20.06200514979077,TimesFM D (+väder)
timesfm_wx,WX,Norrbottens län,6,42.0,326.500735328311,376.17319280010406,0.5573888191000381,18.765820793454978,TimesFM D (+väder)
timesfm_wx,WX,Skåne län,1,47.0,106.25223167906417,143.666522336724,0.5246511467721463,24.115068238437317,TimesFM D (+väder)
timesfm_wx,WX,Skåne län,3,45.0,118.20560777452258,155.3145360300222,0.5836744009398677,26.54239067071231,TimesFM D (+väder)
timesfm_wx,WX,Skåne län,6,42.0,126.31381370907738,161.04792422088997,0.6237110145206354,28.623635916376735,TimesFM D (+väder)
timesfm_wx,WX,Stockholms län,1,47.0,84.76115807066573,100.73375825692455,0.8719979644584618,31.15753005951846,TimesFM D (+väder)
timesfm_wx,WX,Stockholms län,3,45.0,89.64962056477864,108.24143908633718,0.9222890345809834,32.493014161184924,TimesFM D (+väder)
timesfm_wx,WX,Stockholms län,6,42.0,89.6250741141183,106.72433614398288,0.9220365078871805,33.307960363848274,TimesFM D (+väder)
timesfm_wx,WX,Svealand,1,47.0,698.0835480385638,962.3164198116629,0.672516521631456,13.84062610880047,TimesFM D (+väder)
timesfm_wx,WX,Svealand,3,45.0,1004.4188422309028,1249.861272266347,0.9676324100978604,20.197434076762875,TimesFM D (+väder)
timesfm_wx,WX,Svealand,6,42.0,998.2971714564732,1270.082658575061,0.9617349430291122,19.56711334749823,TimesFM D (+väder)
timesfm_wx,WX,Södermanlands län,1,47.0,95.36283971908244,125.20207254029467,0.604340230228342,22.680720627941454,TimesFM D (+väder)
